date,asset_id,well_id,equipment_type,vibration_level,temperature_c,pressure_psi,failure_risk_score
2023-03-01,A001,A001-W01,Compressor,3.24,64.83,2145.38,0.31
2023-03-02,A001,A001-W01,Pump,4.83,65.63,2135.39,0.63
2023-03-03,A001,A001-W01,Pump,3.26,84.25,2244.88,0.19
2023-03-04,A001,A001-W01,Valve,4.48,77.86,2241.93,0.61
2023-03-05,A001,A001-W01,Pump,2.98,65.13,2169.22,0.17
2023-03-06,A001,A001-W01,Compressor,3.24,62.05,2200.86,0.31
2023-03-07,A001,A001-W01,Valve,3.08,82.8,2210.39,0.42
2023-03-08,A001,A001-W01,Compressor,4.31,75.43,2272.31,0.24
2023-03-09,A001,A001-W01,Compressor,3.79,72.77,2254.69,0.33
2023-03-10,A001,A001-W01,Compressor,3.48,66.46,2194.36,0.2
2023-03-11,A001,A001-W01,Valve,2.65,63.22,2150.4,0.16
2023-03-12,A001,A001-W01,Compressor,4.29,71.85,2224.62,0.24
2023-03-13,A001,A001-W01,Pump,2.85,62.22,2149.14,0.17
2023-03-14,A001,A001-W01,Valve,2.58,79.99,2219.59,0.15
2023-03-15,A001,A001-W01,Valve,4.31,80.21,2158.4,0.36
2023-03-16,A001,A001-W01,Valve,4.03,83.19,2138.25,0.59
2023-03-17,A001,A001-W01,Pump,4.63,71.85,2182.76,0.5
2023-03-18,A001,A001-W01,Pump,3.75,67.49,2247.06,0.57
2023-03-19,A001,A001-W01,Valve,4.27,83.14,2187.26,0.6
2023-03-20,A001,A001-W01,Pump,3.21,84.66,2214.91,0.19
2023-03-21,A001,A001-W01,Valve,3.47,71.63,2163.69,0.56
2023-03-22,A001,A001-W01,Compressor,3.9,88.74,2240.68,0.58
2023-03-23,A001,A001-W01,Pump,3.61,74.29,2161.07,0.21
2023-03-24,A001,A001-W01,Compressor,3.56,77.68,2238.76,0.2
2023-03-25,A001,A001-W01,Compressor,3.24,71.36,2202.62,0.19
2023-03-26,A001,A001-W01,Compressor,2.91,65.92,2185.12,0.41
2023-03-27,A001,A001-W01,Compressor,3.52,84.82,2263.49,0.32
2023-03-28,A001,A001-W01,Compressor,3.18,82.88,2163.26,0.42
2023-03-29,A001,A001-W01,Valve,3.82,86.43,2176.46,0.58
2023-03-30,A001,A001-W01,Compressor,2.96,82.49,2177.08,0.17
2023-03-31,A001,A001-W01,Valve,3.76,68.37,2156.58,0.21
2023-04-01,A001,A001-W01,Valve,3.2,70.79,2155.57,0.43
2023-04-02,A001,A001-W01,Pump,3.18,80.53,2151.03,0.18
2023-04-03,A001,A001-W01,Valve,4.14,79.5,2221.26,0.35
2023-04-04,A001,A001-W01,Valve,4.92,79.08,2180.72,0.63
2023-04-05,A001,A001-W01,Pump,3.72,60.45,2248.14,0.21
2023-04-06,A001,A001-W01,Pump,2.64,61.93,2134.11,0.16
2023-04-07,A001,A001-W01,Compressor,3.47,85.44,2163.6,0.56
2023-04-08,A001,A001-W01,Valve,2.91,79.69,2207.3,0.17
2023-04-09,A001,A001-W01,Valve,3.46,82.96,2207.37,0.2
2023-04-10,A001,A001-W01,Valve,3.17,72.29,2231.45,0.54
2023-04-11,A001,A001-W01,Valve,3.62,75.43,2237.84,0.33
2023-04-12,A001,A001-W01,Pump,2.92,82.45,2143.73,0.17
2023-04-13,A001,A001-W01,Pump,4.05,71.33,2193.24,0.23
2023-04-14,A001,A001-W01,Valve,3.05,81.83,2164.67,0.42
2023-04-15,A001,A001-W01,Valve,4.23,70.2,2195.84,0.24
2023-04-16,A001,A001-W01,Compressor,3.26,79.32,2163.44,0.43
2023-04-17,A001,A001-W01,Valve,4.59,65.03,2172.56,0.37
2023-04-18,A001,A001-W01,Compressor,2.75,81.91,2201.16,0.16
2023-04-19,A001,A001-W01,Pump,3.23,60.86,2225.47,0.19
2023-04-20,A001,A001-W01,Compressor,4.65,80.99,2142.27,0.38
2023-04-21,A001,A001-W01,Pump,3.52,78.54,2217.11,0.2
2023-04-22,A001,A001-W01,Compressor,4.3,77.28,2220.27,0.24
2023-04-23,A001,A001-W01,Pump,3.31,72.44,2209.11,0.19
2023-04-24,A001,A001-W01,Pump,3.7,76.63,2158.76,0.21
2023-04-25,A001,A001-W01,Valve,2.83,78.45,2126.85,0.17
2023-04-26,A001,A001-W01,Valve,3.94,75.26,2254.8,0.22
2023-04-27,A001,A001-W01,Pump,3.78,65.55,2229.87,0.33
2023-04-28,A001,A001-W01,Pump,3.59,71.79,2177.51,0.44
2023-04-29,A001,A001-W01,Valve,2.9,87.19,2119.06,0.41
2023-04-30,A001,A001-W01,Valve,3.39,64.63,2198.56,0.19
2023-05-01,A001,A001-W01,Valve,5.06,87.08,2201.38,0.64
2023-05-02,A001,A001-W01,Compressor,2.86,74.2,2229.53,0.17
2023-05-03,A001,A001-W01,Valve,4.39,71.86,2245.15,0.24
2023-05-04,A001,A001-W01,Valve,3.62,72.03,2239.05,0.21
2023-05-05,A001,A001-W01,Pump,3.58,76.54,2222.56,0.2
2023-05-06,A001,A001-W01,Compressor,4.48,60.01,2135.48,0.25
2023-05-07,A001,A001-W01,Valve,3.28,65.44,2172.16,0.55
2023-05-08,A001,A001-W01,Compressor,2.98,62.76,2169.94,0.17
2023-05-09,A001,A001-W01,Valve,4.88,73.69,2161.33,0.51
2023-05-10,A001,A001-W01,Valve,4.3,87.09,2237.23,0.6
2023-05-11,A001,A001-W01,Pump,4.56,66.01,2112.91,0.49
2023-05-12,A001,A001-W01,Compressor,4.16,68.41,2195.44,0.47
2023-05-13,A001,A001-W01,Pump,2.81,80.4,2148.18,0.17
2023-05-14,A001,A001-W01,Valve,3.28,66.82,2180.64,0.19
2023-05-15,A001,A001-W01,Compressor,4.37,70.03,2139.28,0.48
2023-05-16,A001,A001-W01,Compressor,2.92,83.86,2255.73,0.29
2023-05-17,A001,A001-W01,Valve,3.59,81.61,2214.76,0.2
2023-05-18,A001,A001-W01,Valve,4.57,80.44,2196.48,0.49
2023-05-19,A001,A001-W01,Valve,2.56,80.65,2129.13,0.15
2023-05-20,A001,A001-W01,Compressor,3.91,63.16,2163.21,0.46
2023-05-21,A001,A001-W01,Compressor,4.46,65.67,2222.37,0.49
2023-05-22,A001,A001-W01,Compressor,3.11,86.43,2209.34,0.42
2023-05-23,A001,A001-W01,Compressor,3.79,80.02,2109.81,0.57
2023-05-24,A001,A001-W01,Compressor,4.22,62.11,2105.13,0.36
2023-05-25,A001,A001-W01,Pump,3.05,84.93,2176.15,0.18
2023-05-26,A001,A001-W01,Valve,4.05,65.75,2122.72,0.23
2023-05-27,A001,A001-W01,Valve,4.18,72.94,2138.04,0.47
2023-05-28,A001,A001-W01,Valve,2.56,76.29,2169.75,0.15
2023-05-29,A001,A001-W01,Valve,4.45,82.27,2226.9,0.49
2023-05-30,A001,A001-W01,Valve,2.87,71.55,2111.48,0.17
2023-05-31,A001,A001-W01,Compressor,2.82,76.29,2169.41,0.17
2023-06-01,A001,A001-W01,Compressor,3.86,69.89,2232.37,0.22
2023-06-02,A001,A001-W01,Pump,3.46,62.62,2152.73,0.2
2023-06-03,A001,A001-W01,Compressor,3.62,60.24,2154.61,0.21
2023-06-04,A001,A001-W01,Compressor,3.29,63.32,2187.03,0.19
2023-06-05,A001,A001-W01,Pump,2.75,82.41,2185.06,0.16
2023-06-06,A001,A001-W01,Valve,3.75,79.59,2208.44,0.21
2023-06-07,A001,A001-W01,Compressor,3.46,61.02,2148.36,0.2
2023-06-08,A001,A001-W01,Pump,4.13,71.23,2188.42,0.47
2023-06-09,A001,A001-W01,Pump,2.54,76.33,2166.75,0.15
2023-06-10,A001,A001-W01,Compressor,3.16,70.94,2173.12,0.54
2023-06-11,A001,A001-W01,Pump,3.44,86.19,2102.1,0.32
2023-06-12,A001,A001-W01,Compressor,4.45,84.02,2166.55,0.37
2023-06-13,A001,A001-W01,Compressor,3.76,78.33,2112.21,0.21
2023-06-14,A001,A001-W01,Pump,3.04,73.93,2135.05,0.42
2023-06-15,A001,A001-W01,Valve,4.4,72.3,2165.21,0.61
2023-06-16,A001,A001-W01,Compressor,3.37,68.87,2220.67,0.43
2023-06-17,A001,A001-W01,Pump,3.4,74.7,2246.57,0.19
2023-06-18,A001,A001-W01,Valve,3.97,82.54,2214.56,0.46
2023-06-19,A001,A001-W01,Pump,2.75,65.78,2104.07,0.16
2023-06-20,A001,A001-W01,Compressor,3.67,77.21,2175.37,0.21
2023-06-21,A001,A001-W01,Valve,3.66,66.36,2160.85,0.21
2023-06-22,A001,A001-W01,Pump,2.9,76.84,2229.72,0.17
2023-06-23,A001,A001-W01,Compressor,3.82,84.47,2149.6,0.22
2023-06-24,A001,A001-W01,Pump,2.93,81.39,2228.89,0.29
2023-06-25,A001,A001-W01,Valve,3.2,63.98,2198.23,0.18
2023-06-26,A001,A001-W01,Compressor,3.48,65.73,2175.27,0.44
2023-06-27,A001,A001-W01,Compressor,3.13,81.72,2163.63,0.18
2023-06-28,A001,A001-W01,Pump,3.66,76.71,2184.02,0.45
2023-06-29,A001,A001-W01,Compressor,4.34,76.09,2159.3,0.6
2023-06-30,A001,A001-W01,Valve,3.26,69.97,2165.71,0.19
2023-07-01,A001,A001-W01,Valve,2.54,64.89,2112.12,0.15
2023-07-02,A001,A001-W01,Pump,4.57,70.29,2136.34,0.37
2023-07-03,A001,A001-W01,Compressor,3.78,69.28,2181.63,0.33
2023-07-04,A001,A001-W01,Pump,3.06,74.63,2202.78,0.3
2023-07-05,A001,A001-W01,Valve,4.2,65.59,2186.0,0.6
2023-07-06,A001,A001-W01,Pump,2.92,75.27,2179.03,0.17
2023-07-07,A001,A001-W01,Compressor,3.25,82.07,2144.82,0.31
2023-07-08,A001,A001-W01,Valve,3.24,81.42,2205.16,0.43
2023-07-09,A001,A001-W01,Compressor,2.96,69.77,2181.17,0.17
2023-07-10,A001,A001-W01,Valve,3.36,77.94,2209.72,0.19
2023-07-11,A001,A001-W01,Valve,3.06,65.14,2227.7,0.42
2023-07-12,A001,A001-W01,Valve,3.94,64.69,2212.72,0.46
2023-07-13,A001,A001-W01,Valve,3.35,69.83,2185.51,0.31
2023-07-14,A001,A001-W01,Pump,2.82,75.56,2233.71,0.29
2023-07-15,A001,A001-W01,Valve,4.0,83.4,2143.37,0.59
2023-07-16,A001,A001-W01,Compressor,4.37,82.21,2117.62,0.48
2023-07-17,A001,A001-W01,Pump,3.72,72.67,2123.05,0.21
2023-07-18,A001,A001-W01,Valve,3.59,68.98,2188.76,0.44
2023-07-19,A001,A001-W01,Compressor,4.07,74.36,2180.75,0.23
2023-07-20,A001,A001-W01,Valve,4.86,86.2,2207.19,0.63
2023-07-21,A001,A001-W01,Compressor,2.95,83.93,2185.07,0.17
2023-07-22,A001,A001-W01,Valve,3.38,86.96,2195.64,0.55
2023-07-23,A001,A001-W01,Pump,2.95,66.38,2206.81,0.41
2023-07-24,A001,A001-W01,Valve,2.94,78.06,2130.08,0.41
2023-07-25,A001,A001-W01,Valve,4.01,75.49,2158.7,0.23
2023-07-26,A001,A001-W01,Valve,2.86,77.29,2192.75,0.17
2023-07-27,A001,A001-W01,Valve,3.75,72.15,2129.32,0.33
2023-07-28,A001,A001-W01,Valve,3.45,74.18,2227.93,0.56
2023-07-29,A001,A001-W01,Pump,3.86,64.74,2184.34,0.22
2023-07-30,A001,A001-W01,Valve,2.99,72.29,2155.93,0.41
2023-07-31,A001,A001-W01,Valve,4.43,67.59,2186.38,0.37
2023-08-01,A001,A001-W01,Pump,3.17,65.55,2190.61,0.42
2023-08-02,A001,A001-W01,Valve,3.01,79.53,2197.64,0.18
2023-08-03,A001,A001-W01,Pump,3.6,83.56,2105.57,0.33
2023-08-04,A001,A001-W01,Pump,2.64,61.78,2102.76,0.16
2023-08-05,A001,A001-W01,Valve,4.25,78.03,2122.08,0.36
2023-08-06,A001,A001-W01,Valve,2.54,62.05,2227.95,0.15
2023-08-07,A001,A001-W01,Pump,2.74,75.38,2185.15,0.16
2023-08-08,A001,A001-W01,Pump,3.29,86.0,2154.24,0.31
2023-08-09,A001,A001-W01,Pump,3.18,83.2,2107.24,0.18
2023-08-10,A001,A001-W01,Compressor,3.18,64.54,2128.51,0.3
2023-08-11,A001,A001-W01,Compressor,3.02,73.6,2202.6,0.18
2023-08-12,A001,A001-W01,Pump,2.81,69.5,2196.25,0.29
2023-08-13,A001,A001-W01,Pump,4.34,66.84,2141.19,0.36
2023-08-14,A001,A001-W01,Valve,4.23,81.72,2213.64,0.6
2023-08-15,A001,A001-W01,Valve,3.98,82.04,2114.08,0.22
2023-08-16,A001,A001-W01,Pump,4.33,69.2,2146.45,0.6
2023-08-17,A001,A001-W01,Pump,4.19,66.56,2217.68,0.35
2023-08-18,A001,A001-W01,Compressor,4.49,69.21,2144.66,0.25
2023-08-19,A001,A001-W01,Pump,2.96,67.17,2099.9,0.41
2023-08-20,A001,A001-W01,Compressor,4.06,77.04,2187.37,0.47
2023-08-21,A001,A001-W01,Pump,3.5,61.93,2102.65,0.2
2023-08-22,A001,A001-W01,Valve,3.38,63.69,2124.63,0.19
2023-08-23,A001,A001-W01,Compressor,3.97,67.49,2129.27,0.22
2023-08-24,A001,A001-W01,Pump,4.59,83.0,2209.76,0.61
2023-08-25,A001,A001-W01,Valve,3.67,74.66,2199.77,0.21
2023-08-26,A001,A001-W01,Pump,3.25,71.54,2165.56,0.19
2023-08-27,A001,A001-W01,Pump,4.32,79.51,2095.88,0.24
2023-08-28,A001,A001-W01,Compressor,4.41,61.72,2116.92,0.25
2023-08-29,A001,A001-W01,Pump,3.04,78.98,2174.21,0.18
2023-08-30,A001,A001-W01,Pump,4.31,63.48,2172.97,0.24
2023-08-31,A001,A001-W01,Compressor,4.43,74.0,2198.79,0.25
2023-09-01,A001,A001-W01,Pump,3.41,79.35,2100.68,0.44
2023-09-02,A001,A001-W01,Pump,2.54,78.0,2147.35,0.15
2023-09-03,A001,A001-W01,Pump,3.31,73.56,2175.0,0.19
2023-09-04,A001,A001-W01,Compressor,3.18,79.6,2116.63,0.42
2023-09-05,A001,A001-W01,Valve,4.71,75.98,2099.31,0.62
2023-09-06,A001,A001-W01,Pump,4.21,74.48,2117.05,0.36
2023-09-07,A001,A001-W01,Compressor,4.0,73.95,2153.13,0.23
2023-09-08,A001,A001-W01,Pump,3.6,71.43,2110.09,0.33
2023-09-09,A001,A001-W01,Pump,4.21,68.41,2105.55,0.36
2023-09-10,A001,A001-W01,Pump,3.82,65.65,2174.31,0.34
2023-09-11,A001,A001-W01,Valve,2.57,69.09,2161.7,0.15
2023-09-12,A001,A001-W01,Valve,4.11,72.63,2224.25,0.23
2023-09-13,A001,A001-W01,Valve,4.46,72.19,2110.4,0.37
2023-09-14,A001,A001-W01,Pump,2.66,78.29,2102.65,0.16
2023-09-15,A001,A001-W01,Pump,3.44,80.54,2158.57,0.2
2023-09-16,A001,A001-W01,Valve,3.13,65.18,2194.43,0.42
2023-09-17,A001,A001-W01,Valve,3.37,74.43,2202.96,0.19
2023-09-18,A001,A001-W01,Valve,3.15,77.16,2077.91,0.18
2023-09-19,A001,A001-W01,Valve,3.89,72.82,2144.83,0.22
2023-09-20,A001,A001-W01,Pump,4.44,80.65,2213.13,0.37
2023-09-21,A001,A001-W01,Pump,2.72,71.18,2123.85,0.16
2023-09-22,A001,A001-W01,Compressor,2.74,72.04,2087.38,0.28
2023-09-23,A001,A001-W01,Compressor,3.9,80.99,2225.6,0.22
2023-09-24,A001,A001-W01,Pump,2.93,79.09,2142.83,0.29
2023-09-25,A001,A001-W01,Pump,2.65,65.66,2194.72,0.16
2023-09-26,A001,A001-W01,Pump,3.78,89.23,2192.11,0.57
2023-09-27,A001,A001-W01,Pump,4.81,77.54,2074.55,0.63
2023-09-28,A001,A001-W01,Pump,4.44,63.12,2202.34,0.37
2023-09-29,A001,A001-W01,Pump,3.18,64.12,2095.68,0.18
2023-09-30,A001,A001-W01,Compressor,2.91,71.11,2139.7,0.29
2023-10-01,A001,A001-W01,Compressor,3.24,70.86,2144.46,0.55
2023-10-02,A001,A001-W01,Pump,3.85,78.56,2170.87,0.46
2023-10-03,A001,A001-W01,Compressor,2.94,60.92,2099.05,0.17
2023-10-04,A001,A001-W01,Pump,4.96,74.43,2096.76,0.63
2023-10-05,A001,A001-W01,Valve,4.25,64.12,2122.55,0.48
2023-10-06,A001,A001-W01,Pump,4.33,78.2,2135.92,0.48
2023-10-07,A001,A001-W01,Valve,3.2,70.94,2077.72,0.55
2023-10-08,A001,A001-W01,Pump,3.44,64.53,2114.37,0.32
2023-10-09,A001,A001-W01,Compressor,4.26,72.05,2184.38,0.48
2023-10-10,A001,A001-W01,Compressor,3.95,63.01,2197.99,0.22
2023-10-11,A001,A001-W01,Compressor,3.29,73.65,2136.1,0.31
2023-10-12,A001,A001-W01,Valve,2.63,69.68,2165.81,0.16
2023-10-13,A001,A001-W01,Valve,4.3,82.06,2217.68,0.36
2023-10-14,A001,A001-W01,Valve,3.7,77.64,2153.58,0.21
2023-10-15,A001,A001-W01,Compressor,3.19,63.86,2083.24,0.18
2023-10-16,A001,A001-W01,Compressor,2.7,81.18,2140.35,0.16
2023-10-17,A001,A001-W01,Compressor,3.56,63.39,2095.69,0.2
2023-10-18,A001,A001-W01,Compressor,2.79,72.2,2124.9,0.16
2023-10-19,A001,A001-W01,Valve,4.69,75.13,2114.15,0.38
2023-10-20,A001,A001-W01,Pump,4.66,73.45,2119.2,0.38
2023-10-21,A001,A001-W01,Pump,3.29,64.44,2107.04,0.43
2023-10-22,A001,A001-W01,Valve,3.79,78.66,2112.65,0.45
2023-10-23,A001,A001-W01,Pump,3.42,78.27,2080.35,0.2
2023-10-24,A001,A001-W01,Compressor,4.1,71.84,2138.88,0.47
2023-10-25,A001,A001-W01,Valve,3.63,62.36,2226.76,0.33
2023-10-26,A001,A001-W01,Valve,3.48,73.06,2152.6,0.2
2023-10-27,A001,A001-W01,Valve,4.29,71.4,2141.83,0.24
2023-10-28,A001,A001-W01,Pump,2.62,60.08,2142.66,0.16
2023-10-29,A001,A001-W01,Compressor,4.84,68.52,2145.97,0.51
2023-10-30,A001,A001-W01,Pump,3.77,76.11,2183.73,0.21
2023-10-31,A001,A001-W01,Compressor,2.9,84.87,2102.08,0.17
2023-11-01,A001,A001-W01,Pump,2.91,86.43,2213.95,0.41
2023-11-02,A001,A001-W01,Valve,3.95,67.01,2146.99,0.22
2023-11-03,A001,A001-W01,Compressor,4.3,63.15,2116.41,0.48
2023-11-04,A001,A001-W01,Valve,3.2,66.32,2140.37,0.55
2023-11-05,A001,A001-W01,Valve,3.63,65.05,2169.28,0.57
2023-11-06,A001,A001-W01,Valve,3.73,81.99,2116.91,0.45
2023-11-07,A001,A001-W01,Compressor,3.97,74.66,2134.14,0.34
2023-11-08,A001,A001-W01,Valve,4.73,81.02,2104.98,0.5
2023-11-09,A001,A001-W01,Pump,3.5,64.07,2112.69,0.32
2023-11-10,A001,A001-W01,Pump,3.43,68.51,2225.74,0.2
2023-11-11,A001,A001-W01,Pump,3.13,79.72,2158.88,0.18
2023-11-12,A001,A001-W01,Valve,3.87,72.35,2128.53,0.22
2023-11-13,A001,A001-W01,Pump,3.83,84.15,2147.52,0.22
2023-11-14,A001,A001-W01,Valve,3.79,61.2,2107.56,0.21
2023-11-15,A001,A001-W01,Pump,4.64,64.57,2183.01,0.62
2023-11-16,A001,A001-W01,Pump,4.24,78.26,2161.4,0.24
2023-11-17,A001,A001-W01,Pump,4.18,69.39,2137.63,0.35
2023-11-18,A001,A001-W01,Compressor,3.24,61.45,2074.3,0.19
2023-11-19,A001,A001-W01,Compressor,3.77,64.98,2084.9,0.57
2023-11-20,A001,A001-W01,Compressor,2.72,73.1,2228.17,0.28
2023-11-21,A001,A001-W01,Valve,4.65,64.64,2061.7,0.38
2023-11-22,A001,A001-W01,Pump,3.58,81.48,2107.72,0.44
2023-11-23,A001,A001-W01,Pump,4.39,62.09,2195.09,0.36
2023-11-24,A001,A001-W01,Pump,3.92,83.43,2140.49,0.22
2023-11-25,A001,A001-W01,Valve,2.98,73.27,2136.36,0.17
2023-11-26,A001,A001-W01,Valve,3.94,83.9,2145.6,0.34
2023-11-27,A001,A001-W01,Compressor,3.99,81.75,2185.56,0.34
2023-11-28,A001,A001-W01,Pump,3.88,83.27,2148.04,0.22
2023-11-29,A001,A001-W01,Compressor,4.8,87.06,2152.59,0.5
2023-11-30,A001,A001-W01,Pump,4.22,86.1,2109.05,0.6
2023-12-01,A001,A001-W01,Valve,3.28,76.48,2114.02,0.19
2023-12-02,A001,A001-W01,Valve,3.22,72.42,2144.72,0.31
2023-12-03,A001,A001-W01,Pump,4.72,86.59,2212.22,0.5
2023-12-04,A001,A001-W01,Valve,4.54,70.68,2117.39,0.61
2023-12-05,A001,A001-W01,Compressor,2.72,61.73,2093.53,0.28
2023-12-06,A001,A001-W01,Pump,3.01,66.15,2097.33,0.18
2023-12-07,A001,A001-W01,Pump,4.49,61.12,2201.37,0.25
2023-12-08,A001,A001-W01,Pump,3.05,75.55,2183.93,0.18
2023-12-09,A001,A001-W01,Valve,4.25,84.36,2065.88,0.24
2023-12-10,A001,A001-W01,Valve,3.86,65.62,2142.05,0.22
2023-12-11,A001,A001-W01,Pump,3.61,85.35,2182.61,0.45
2023-12-12,A001,A001-W01,Valve,3.11,67.88,2109.76,0.3
2023-12-13,A001,A001-W01,Valve,3.51,70.24,2204.5,0.2
2023-12-14,A001,A001-W01,Valve,3.53,71.58,2083.48,0.2
2023-12-15,A001,A001-W01,Compressor,3.73,76.06,2041.35,0.45
2023-12-16,A001,A001-W01,Valve,2.6,64.78,2126.7,0.16
2023-12-17,A001,A001-W01,Valve,4.29,80.45,2085.23,0.24
2023-12-18,A001,A001-W01,Valve,3.89,79.27,2173.03,0.58
2023-12-19,A001,A001-W01,Pump,4.27,88.31,2076.03,0.6
2023-12-20,A001,A001-W01,Pump,3.11,75.85,2139.49,0.42
2023-12-21,A001,A001-W01,Pump,4.11,63.05,2048.03,0.23
2023-12-22,A001,A001-W01,Pump,3.33,79.63,2057.0,0.43
2023-12-23,A001,A001-W01,Compressor,3.12,72.06,2112.83,0.18
2023-12-24,A001,A001-W01,Valve,4.44,70.94,2129.25,0.25
2023-12-25,A001,A001-W01,Pump,3.91,80.96,2172.87,0.46
2023-12-26,A001,A001-W01,Valve,4.23,63.93,2067.35,0.24
2023-12-27,A001,A001-W01,Valve,4.35,78.79,2182.94,0.6
2023-12-28,A001,A001-W01,Pump,3.28,69.17,2097.42,0.31
2023-12-29,A001,A001-W01,Compressor,3.21,62.1,2071.29,0.19
2023-12-30,A001,A001-W01,Valve,4.47,81.34,2089.08,0.49
2023-12-31,A001,A001-W01,Compressor,4.38,82.87,2068.98,0.24
2024-01-01,A001,A001-W01,Pump,4.21,69.25,2133.9,0.6
2024-01-02,A001,A001-W01,Compressor,3.98,75.77,2142.92,0.22
2024-01-03,A001,A001-W01,Valve,3.24,75.26,2112.35,0.55
2024-01-04,A001,A001-W01,Compressor,3.25,74.09,2108.18,0.19
2024-01-05,A001,A001-W01,Valve,2.73,71.23,2152.92,0.16
2024-01-06,A001,A001-W01,Pump,3.25,61.26,2121.09,0.19
2024-01-07,A001,A001-W01,Compressor,4.15,76.93,2147.2,0.35
2024-01-08,A001,A001-W01,Valve,4.28,62.11,2123.8,0.24
