date,asset_id,well_id,oil_produced_bbl,gas_produced_mcf,water_cut_pct,downtime_hours
2023-02-20,A001,A001-W01,938.55,7074.73,24.73,0
2023-02-21,A001,A001-W01,906.69,6962.01,24.68,0
2023-02-22,A001,A001-W01,929.93,6706.22,24.83,0
2023-02-23,A001,A001-W01,948.13,6748.75,24.82,3
2023-02-24,A001,A001-W01,967.86,7020.1,24.8,0
2023-02-25,A001,A001-W01,948.51,6779.93,24.73,2
2023-02-26,A001,A001-W01,980.93,6624.15,24.82,0
2023-02-27,A001,A001-W01,959.48,6709.58,24.84,0
2023-02-28,A001,A001-W01,915.13,6789.67,24.72,0
2023-03-01,A001,A001-W01,945.64,6667.99,24.82,1
2023-03-02,A001,A001-W01,961.97,6863.6,24.8,3
2023-03-03,A001,A001-W01,939.69,7122.06,24.78,0
2023-03-04,A001,A001-W01,901.64,6570.77,24.69,3
2023-03-05,A001,A001-W01,967.89,7102.08,24.81,0
2023-03-06,A001,A001-W01,916.56,6913.39,24.8,1
2023-03-07,A001,A001-W01,942.92,7027.83,24.81,2
2023-03-08,A001,A001-W01,969.47,6902.01,24.74,0
2023-03-09,A001,A001-W01,931.72,6752.32,24.84,1
2023-03-10,A001,A001-W01,975.67,7097.85,24.75,0
2023-03-11,A001,A001-W01,927.07,6594.15,24.8,0
2023-03-12,A001,A001-W01,961.35,6583.36,24.79,0
2023-03-13,A001,A001-W01,915.32,7009.35,24.78,0
2023-03-14,A001,A001-W01,979.97,6549.07,24.75,0
2023-03-15,A001,A001-W01,909.37,6710.06,24.73,1
2023-03-16,A001,A001-W01,981.32,6612.19,24.83,3
2023-03-17,A001,A001-W01,977.23,6789.81,24.82,2
2023-03-18,A001,A001-W01,909.92,6823.12,24.88,3
2023-03-19,A001,A001-W01,967.24,6780.69,24.76,3
2023-03-20,A001,A001-W01,926.75,7067.81,24.8,0
2023-03-21,A001,A001-W01,918.68,6722.97,24.73,3
2023-03-22,A001,A001-W01,896.41,6444.26,24.88,3
2023-03-23,A001,A001-W01,936.5,6913.09,24.93,0
2023-03-24,A001,A001-W01,926.47,6752.92,24.76,0
2023-03-25,A001,A001-W01,907.54,6768.8,24.83,0
2023-03-26,A001,A001-W01,920.15,6967.63,24.83,2
2023-03-27,A001,A001-W01,926.89,7080.96,24.85,1
2023-03-28,A001,A001-W01,901.94,6965.61,24.78,2
2023-03-29,A001,A001-W01,908.23,6585.48,24.89,3
2023-03-30,A001,A001-W01,975.89,6853.7,24.86,0
2023-03-31,A001,A001-W01,917.93,6835.71,24.75,0
2023-04-01,A001,A001-W01,936.35,6921.26,24.9,2
2023-04-02,A001,A001-W01,914.87,6946.53,24.77,0
2023-04-03,A001,A001-W01,933.09,7003.53,24.73,1
2023-04-04,A001,A001-W01,959.29,6841.13,24.9,3
2023-04-05,A001,A001-W01,952.07,7069.99,24.75,0
2023-04-06,A001,A001-W01,955.06,6515.57,24.92,0
2023-04-07,A001,A001-W01,930.9,6487.83,25.01,3
2023-04-08,A001,A001-W01,947.51,6705.25,24.76,0
2023-04-09,A001,A001-W01,943.42,7065.3,24.8,0
2023-04-10,A001,A001-W01,905.58,6557.06,24.83,3
2023-04-11,A001,A001-W01,891.92,6874.4,24.8,1
2023-04-12,A001,A001-W01,934.3,6803.02,24.82,0
2023-04-13,A001,A001-W01,925.93,6990.11,24.89,0
2023-04-14,A001,A001-W01,944.97,6543.15,24.78,2
2023-04-15,A001,A001-W01,928.42,6438.64,24.81,0
2023-04-16,A001,A001-W01,956.96,6461.04,24.75,2
2023-04-17,A001,A001-W01,980.87,6816.07,24.98,1
2023-04-18,A001,A001-W01,888.65,6459.73,24.86,0
2023-04-19,A001,A001-W01,963.68,6631.68,24.87,0
2023-04-20,A001,A001-W01,943.56,6728.52,24.81,1
2023-04-21,A001,A001-W01,974.79,6968.27,24.85,0
2023-04-22,A001,A001-W01,906.1,7008.46,24.9,0
2023-04-23,A001,A001-W01,897.55,6783.97,24.89,0
2023-04-24,A001,A001-W01,908.14,7070.31,24.82,0
2023-04-25,A001,A001-W01,924.79,6918.51,24.92,0
2023-04-26,A001,A001-W01,929.37,6636.47,24.8,0
2023-04-27,A001,A001-W01,976.13,6904.18,24.84,1
2023-04-28,A001,A001-W01,946.01,6647.16,24.93,2
2023-04-29,A001,A001-W01,928.67,6572.52,24.99,2
2023-04-30,A001,A001-W01,967.54,7084.73,24.9,0
2023-05-01,A001,A001-W01,962.66,6845.24,24.98,3
2023-05-02,A001,A001-W01,972.43,6407.65,25.05,0
2023-05-03,A001,A001-W01,962.28,6576.73,24.75,0
2023-05-04,A001,A001-W01,938.83,6855.44,24.91,0
2023-05-05,A001,A001-W01,959.01,6472.28,24.82,0
2023-05-06,A001,A001-W01,942.42,6541.42,24.84,0
2023-05-07,A001,A001-W01,958.68,7049.84,24.94,3
2023-05-08,A001,A001-W01,898.71,6648.83,24.88,0
2023-05-09,A001,A001-W01,951.65,6780.41,24.91,2
2023-05-10,A001,A001-W01,956.93,6435.72,24.97,3
2023-05-11,A001,A001-W01,904.71,7003.59,25.06,2
2023-05-12,A001,A001-W01,909.24,6961.12,24.82,2
2023-05-13,A001,A001-W01,912.52,6755.09,24.91,0
2023-05-14,A001,A001-W01,943.37,6796.95,24.82,0
2023-05-15,A001,A001-W01,963.12,6912.85,25.06,2
2023-05-16,A001,A001-W01,958.81,6763.07,24.78,1
2023-05-17,A001,A001-W01,933.04,6806.54,24.99,0
2023-05-18,A001,A001-W01,906.41,6479.97,24.9,2
2023-05-19,A001,A001-W01,903.11,6980.79,25.1,0
2023-05-20,A001,A001-W01,976.23,6428.59,24.87,2
2023-05-21,A001,A001-W01,942.17,6496.98,24.86,2
2023-05-22,A001,A001-W01,966.92,6673.31,24.84,2
2023-05-23,A001,A001-W01,897.38,6878.81,25.11,3
2023-05-24,A001,A001-W01,943.98,6656.05,25.1,1
2023-05-25,A001,A001-W01,965.42,6582.47,24.79,0
2023-05-26,A001,A001-W01,931.64,6921.37,24.96,0
2023-05-27,A001,A001-W01,895.33,6647.34,25.2,2
2023-05-28,A001,A001-W01,919.31,6904.71,24.95,0
2023-05-29,A001,A001-W01,937.89,6507.42,24.86,2
2023-05-30,A001,A001-W01,897.29,6406.89,25.1,0
2023-05-31,A001,A001-W01,955.78,6722.34,24.8,0
2023-06-01,A001,A001-W01,911.43,6672.34,24.86,0
2023-06-02,A001,A001-W01,954.16,6994.96,24.96,0
2023-06-03,A001,A001-W01,887.05,6711.26,24.89,0
2023-06-04,A001,A001-W01,967.99,6445.18,25.05,0
2023-06-05,A001,A001-W01,959.87,6401.18,25.06,0
2023-06-06,A001,A001-W01,942.82,6915.32,24.9,0
2023-06-07,A001,A001-W01,975.52,6802.53,24.91,0
2023-06-08,A001,A001-W01,897.12,6598.43,24.79,2
2023-06-09,A001,A001-W01,963.99,6865.89,24.88,0
2023-06-10,A001,A001-W01,893.23,6660.31,24.89,3
2023-06-11,A001,A001-W01,917.51,6906.31,25.14,1
2023-06-12,A001,A001-W01,939.92,6405.26,24.94,1
2023-06-13,A001,A001-W01,904.53,6575.69,25.06,0
2023-06-14,A001,A001-W01,911.9,7074.42,24.82,2
2023-06-15,A001,A001-W01,933.8,6631.91,24.99,3
2023-06-16,A001,A001-W01,912.87,6886.11,24.9,2
2023-06-17,A001,A001-W01,938.24,6645.16,24.96,0
2023-06-18,A001,A001-W01,905.23,6442.01,24.94,2
2023-06-19,A001,A001-W01,898.27,6417.54,25.0,0
2023-06-20,A001,A001-W01,932.41,7052.1,24.84,0
2023-06-21,A001,A001-W01,877.97,6964.78,25.18,0
2023-06-22,A001,A001-W01,894.76,6381.53,24.97,0
2023-06-23,A001,A001-W01,895.2,6510.57,25.23,0
2023-06-24,A001,A001-W01,941.61,6961.51,25.01,1
2023-06-25,A001,A001-W01,949.87,6673.77,24.95,0
2023-06-26,A001,A001-W01,914.15,6903.61,25.26,2
2023-06-27,A001,A001-W01,948.69,6938.42,25.02,0
2023-06-28,A001,A001-W01,883.5,6587.51,24.97,2
2023-06-29,A001,A001-W01,885.77,6774.52,24.89,3
2023-06-30,A001,A001-W01,954.57,6931.09,25.28,0
2023-07-01,A001,A001-W01,936.17,6886.39,25.04,0
2023-07-02,A001,A001-W01,979.41,6862.88,24.85,1
2023-07-03,A001,A001-W01,929.79,6806.08,25.2,1
2023-07-04,A001,A001-W01,975.56,6934.72,24.99,1
2023-07-05,A001,A001-W01,905.65,7006.57,25.03,3
2023-07-06,A001,A001-W01,950.63,6774.92,24.88,0
2023-07-07,A001,A001-W01,947.16,6691.03,25.04,1
2023-07-08,A001,A001-W01,948.39,6430.73,25.09,2
2023-07-09,A001,A001-W01,898.48,6571.45,24.94,0
2023-07-10,A001,A001-W01,913.94,6810.88,24.95,0
2023-07-11,A001,A001-W01,961.17,6789.24,24.93,2
2023-07-12,A001,A001-W01,917.96,6606.62,25.03,2
2023-07-13,A001,A001-W01,904.85,6742.62,25.15,1
2023-07-14,A001,A001-W01,917.78,7045.66,24.98,1
2023-07-15,A001,A001-W01,949.48,6459.4,25.05,3
2023-07-16,A001,A001-W01,896.13,6574.18,25.02,2
2023-07-17,A001,A001-W01,939.15,6417.49,25.14,0
2023-07-18,A001,A001-W01,917.87,6594.64,24.86,2
2023-07-19,A001,A001-W01,924.79,6774.51,25.02,0
2023-07-20,A001,A001-W01,918.17,6719.23,25.09,3
2023-07-21,A001,A001-W01,892.16,6652.58,24.89,0
2023-07-22,A001,A001-W01,887.72,6889.14,25.35,3
2023-07-23,A001,A001-W01,948.92,6740.35,25.02,2
2023-07-24,A001,A001-W01,953.76,6483.81,25.37,2
2023-07-25,A001,A001-W01,961.62,6720.68,24.81,0
2023-07-26,A001,A001-W01,898.61,6468.71,24.91,0
2023-07-27,A001,A001-W01,907.14,6536.3,24.88,1
2023-07-28,A001,A001-W01,899.46,6604.76,25.02,3
2023-07-29,A001,A001-W01,926.6,6375.12,24.95,0
2023-07-30,A001,A001-W01,911.72,7073.36,24.96,2
2023-07-31,A001,A001-W01,959.32,6421.45,25.05,1
2023-08-01,A001,A001-W01,918.99,6673.32,25.12,2
2023-08-02,A001,A001-W01,916.89,6492.84,25.29,0
2023-08-03,A001,A001-W01,959.55,6750.27,25.18,1
2023-08-04,A001,A001-W01,885.26,6379.83,25.14,0
2023-08-05,A001,A001-W01,915.39,6653.41,25.27,1
2023-08-06,A001,A001-W01,932.19,6912.94,24.9,0
2023-08-07,A001,A001-W01,895.1,6954.01,25.27,0
2023-08-08,A001,A001-W01,914.48,6873.27,25.16,1
2023-08-09,A001,A001-W01,919.01,6693.26,25.07,0
2023-08-10,A001,A001-W01,932.55,6619.5,24.93,1
2023-08-11,A001,A001-W01,981.18,6861.91,24.87,0
2023-08-12,A001,A001-W01,957.66,6832.88,25.18,1
2023-08-13,A001,A001-W01,874.31,6387.84,25.06,1
2023-08-14,A001,A001-W01,950.67,6848.4,25.11,3
2023-08-15,A001,A001-W01,911.03,6391.76,25.27,0
2023-08-16,A001,A001-W01,954.59,6488.07,25.08,3
2023-08-17,A001,A001-W01,926.06,6896.66,25.26,1
2023-08-18,A001,A001-W01,944.41,6870.05,25.16,0
2023-08-19,A001,A001-W01,924.86,6538.9,25.21,2
2023-08-20,A001,A001-W01,941.08,6716.98,24.99,2
2023-08-21,A001,A001-W01,933.66,6737.46,24.92,0
2023-08-22,A001,A001-W01,963.16,6436.56,25.37,0
2023-08-23,A001,A001-W01,917.64,6412.89,25.11,0
2023-08-24,A001,A001-W01,947.26,6390.33,25.13,3
2023-08-25,A001,A001-W01,917.7,6601.88,24.85,0
2023-08-26,A001,A001-W01,968.87,6533.47,25.02,0
2023-08-27,A001,A001-W01,922.86,6424.61,24.94,0
2023-08-28,A001,A001-W01,941.09,6470.34,25.06,0
2023-08-29,A001,A001-W01,912.5,6582.84,25.02,0
2023-08-30,A001,A001-W01,896.38,6933.25,24.88,0
2023-08-31,A001,A001-W01,879.18,6442.01,25.36,0
2023-09-01,A001,A001-W01,942.08,6688.45,25.26,2
2023-09-02,A001,A001-W01,967.27,6735.82,25.06,0
2023-09-03,A001,A001-W01,920.55,6616.01,25.07,0
2023-09-04,A001,A001-W01,883.12,6621.39,25.15,2
2023-09-05,A001,A001-W01,915.24,6762.02,25.15,3
2023-09-06,A001,A001-W01,907.71,6902.65,25.16,1
2023-09-07,A001,A001-W01,887.61,6465.62,25.43,0
2023-09-08,A001,A001-W01,905.62,6605.62,25.2,1
2023-09-09,A001,A001-W01,884.49,6591.0,25.22,1
2023-09-10,A001,A001-W01,962.74,6690.59,24.97,1
2023-09-11,A001,A001-W01,892.17,6901.45,25.12,0
2023-09-12,A001,A001-W01,953.73,6993.41,25.21,0
2023-09-13,A001,A001-W01,887.18,6801.2,25.07,1
2023-09-14,A001,A001-W01,879.86,6305.37,25.41,0
2023-09-15,A001,A001-W01,964.92,6421.61,25.17,0
2023-09-16,A001,A001-W01,956.68,6942.2,25.07,2
2023-09-17,A001,A001-W01,915.51,6673.33,25.09,0
2023-09-18,A001,A001-W01,890.51,6277.52,25.46,0
2023-09-19,A001,A001-W01,943.32,7030.72,24.88,0
2023-09-20,A001,A001-W01,955.67,6655.98,25.06,1
2023-09-21,A001,A001-W01,924.97,6819.77,25.05,0
2023-09-22,A001,A001-W01,908.54,6950.01,25.01,1
2023-09-23,A001,A001-W01,959.03,6540.47,25.24,0
2023-09-24,A001,A001-W01,897.09,6818.06,25.16,1
2023-09-25,A001,A001-W01,881.42,6663.75,24.99,0
2023-09-26,A001,A001-W01,968.75,6954.72,25.03,3
2023-09-27,A001,A001-W01,892.26,6531.54,25.2,3
2023-09-28,A001,A001-W01,882.23,6350.64,25.44,1
2023-09-29,A001,A001-W01,876.86,6872.76,25.26,0
2023-09-30,A001,A001-W01,924.93,6745.97,25.12,1
2023-10-01,A001,A001-W01,904.42,6659.04,25.27,3
2023-10-02,A001,A001-W01,897.37,6565.64,25.13,2
2023-10-03,A001,A001-W01,928.45,6662.24,25.35,0
2023-10-04,A001,A001-W01,914.61,6452.08,25.14,3
2023-10-05,A001,A001-W01,914.09,6823.31,25.4,2
2023-10-06,A001,A001-W01,915.06,6619.58,25.07,2
2023-10-07,A001,A001-W01,954.93,6735.75,25.52,3
2023-10-08,A001,A001-W01,887.3,6669.22,25.58,1
2023-10-09,A001,A001-W01,890.71,6609.94,25.15,2
2023-10-10,A001,A001-W01,885.44,6372.4,25.04,0
2023-10-11,A001,A001-W01,954.8,6775.67,25.49,1
2023-10-12,A001,A001-W01,935.82,6363.46,25.39,0
2023-10-13,A001,A001-W01,933.24,6946.57,25.05,1
2023-10-14,A001,A001-W01,874.92,6831.82,25.05,0
2023-10-15,A001,A001-W01,887.12,6717.77,25.0,0
2023-10-16,A001,A001-W01,899.85,6314.27,25.24,0
2023-10-17,A001,A001-W01,936.41,6392.27,25.2,0
2023-10-18,A001,A001-W01,919.74,6482.2,24.85,0
2023-10-19,A001,A001-W01,970.14,6569.06,25.18,1
2023-10-20,A001,A001-W01,895.31,6456.36,25.35,1
2023-10-21,A001,A001-W01,940.85,6529.22,25.24,2
2023-10-22,A001,A001-W01,910.1,6428.22,25.53,2
2023-10-23,A001,A001-W01,931.0,6431.51,25.27,0
2023-10-24,A001,A001-W01,921.73,6440.79,25.46,2
2023-10-25,A001,A001-W01,953.92,6436.58,25.17,1
2023-10-26,A001,A001-W01,962.07,6611.02,25.41,0
2023-10-27,A001,A001-W01,920.92,6631.08,25.23,0
2023-10-28,A001,A001-W01,916.15,6860.26,25.19,0
2023-10-29,A001,A001-W01,866.18,6785.26,25.41,2
2023-10-30,A001,A001-W01,934.31,6763.46,25.34,0
2023-10-31,A001,A001-W01,895.76,6959.13,24.93,0
2023-11-01,A001,A001-W01,951.78,6930.91,25.09,2
2023-11-02,A001,A001-W01,940.18,6630.35,25.13,0
2023-11-03,A001,A001-W01,914.07,6435.02,25.15,2
2023-11-04,A001,A001-W01,882.51,6648.33,25.29,3
2023-11-05,A001,A001-W01,957.47,6599.34,25.03,3
2023-11-06,A001,A001-W01,936.36,6980.56,25.17,2
2023-11-07,A001,A001-W01,910.85,6661.23,25.34,1
2023-11-08,A001,A001-W01,933.89,6572.86,25.45,2
2023-11-09,A001,A001-W01,887.74,6733.84,24.96,1
2023-11-10,A001,A001-W01,907.37,6834.41,24.89,0
2023-11-11,A001,A001-W01,932.33,6272.15,25.55,0
2023-11-12,A001,A001-W01,906.0,6905.93,25.33,0
2023-11-13,A001,A001-W01,920.94,6293.37,25.29,0
2023-11-14,A001,A001-W01,950.12,6411.31,25.36,0
2023-11-15,A001,A001-W01,908.53,6570.78,25.13,3
2023-11-16,A001,A001-W01,946.55,6847.22,25.1,0
2023-11-17,A001,A001-W01,864.99,6474.96,25.72,1
2023-11-18,A001,A001-W01,906.15,6609.93,25.12,0
2023-11-19,A001,A001-W01,876.44,6710.18,25.17,3
2023-11-20,A001,A001-W01,949.83,6580.46,25.18,1
2023-11-21,A001,A001-W01,891.7,6735.88,25.57,1
2023-11-22,A001,A001-W01,905.26,6407.6,25.2,2
2023-11-23,A001,A001-W01,871.86,6487.31,25.31,1
2023-11-24,A001,A001-W01,891.53,6376.42,25.15,0
2023-11-25,A001,A001-W01,903.84,6248.49,25.76,0
2023-11-26,A001,A001-W01,861.45,6402.93,25.35,1
2023-11-27,A001,A001-W01,878.86,6776.74,25.44,1
2023-11-28,A001,A001-W01,916.81,6892.73,25.3,0
2023-11-29,A001,A001-W01,881.27,6901.21,25.3,2
2023-11-30,A001,A001-W01,900.1,6550.12,25.44,3
2023-12-01,A001,A001-W01,958.44,7006.31,25.18,0
2023-12-02,A001,A001-W01,904.35,6883.96,25.33,1
2023-12-03,A001,A001-W01,876.58,6324.55,25.31,2
2023-12-04,A001,A001-W01,940.69,6413.98,25.87,3
2023-12-05,A001,A001-W01,945.43,6692.31,25.74,1
2023-12-06,A001,A001-W01,861.99,6714.94,25.26,0
2023-12-07,A001,A001-W01,964.95,6461.0,25.22,0
2023-12-08,A001,A001-W01,870.79,6244.0,25.12,0
2023-12-09,A001,A001-W01,897.18,6668.1,25.21,0
2023-12-10,A001,A001-W01,878.19,6333.52,25.03,0
2023-12-11,A001,A001-W01,903.25,6449.78,25.59,2
2023-12-12,A001,A001-W01,939.87,6579.89,25.29,1
2023-12-13,A001,A001-W01,938.91,6591.88,25.0,0
2023-12-14,A001,A001-W01,934.54,6793.19,25.33,0
2023-12-15,A001,A001-W01,888.03,6506.7,25.63,2
2023-12-16,A001,A001-W01,893.48,6317.22,25.15,0
2023-12-17,A001,A001-W01,927.89,6763.56,25.39,0
2023-12-18,A001,A001-W01,909.33,6912.93,25.31,3
2023-12-19,A001,A001-W01,936.87,6275.49,25.17,3
2023-12-20,A001,A001-W01,956.38,6690.18,25.07,2
2023-12-21,A001,A001-W01,926.15,6597.12,25.8,0
2023-12-22,A001,A001-W01,878.62,6684.18,25.33,2
2023-12-23,A001,A001-W01,924.51,6561.99,25.81,0
2023-12-24,A001,A001-W01,952.23,6430.11,25.19,0
2023-12-25,A001,A001-W01,929.01,6589.16,25.39,2
2023-12-26,A001,A001-W01,914.29,6749.57,25.41,0
2023-12-27,A001,A001-W01,945.05,6609.64,25.03,3
2023-12-28,A001,A001-W01,882.87,6313.87,25.23,1
2023-12-29,A001,A001-W01,889.29,6704.58,25.73,0
2023-12-30,A001,A001-W01,874.67,6519.58,25.52,2
2023-12-31,A001,A001-W01,935.21,6319.27,25.2,0
2024-01-01,A001,A001-W01,879.74,6865.46,25.14,3
2024-01-02,A001,A001-W01,905.14,6441.87,25.13,0
2024-01-03,A001,A001-W01,902.9,6174.19,25.3,3
2024-01-04,A001,A001-W01,918.47,6377.21,25.12,0
2024-01-05,A001,A001-W01,894.39,6667.93,25.47,0
2024-01-06,A001,A001-W01,935.5,6306.63,25.61,0
2024-01-07,A001,A001-W01,883.67,6503.84,25.76,1
2024-01-08,A001,A001-W01,857.06,6122.71,25.63,0
2024-01-09,A001,A001-W01,910.79,6761.79,24.99,1
2024-01-10,A001,A001-W01,894.67,6905.61,25.25,0
2024-01-11,A001,A001-W01,930.97,6633.51,25.49,0
2024-01-12,A001,A001-W01,936.07,6501.52,25.36,0
2024-01-13,A001,A001-W01,892.38,6294.28,25.82,0
2024-01-14,A001,A001-W01,894.09,6564.08,25.39,1
2024-01-15,A001,A001-W01,853.99,6650.86,25.5,0
2024-01-16,A001,A001-W01,922.37,6944.49,24.96,0
2024-01-17,A001,A001-W01,922.7,6836.02,25.37,0
2024-01-18,A001,A001-W01,852.86,6745.86,25.57,0
2024-01-19,A001,A001-W01,870.64,6664.49,25.87,3
2024-01-20,A001,A001-W01,950.62,6313.48,25.49,3
2024-01-21,A001,A001-W01,900.86,6235.96,25.27,2
2024-01-22,A001,A001-W01,931.54,6800.62,25.4,1
2024-01-23,A001,A001-W01,931.25,6816.17,25.13,1
2024-01-24,A001,A001-W01,875.44,6535.83,25.12,3
2024-01-25,A001,A001-W01,931.22,6593.34,25.52,0
2024-01-26,A001,A001-W01,860.87,6812.42,25.62,2
2024-01-27,A001,A001-W01,871.24,6710.57,25.57,0
2024-01-28,A001,A001-W01,909.27,6388.66,26.01,0
2024-01-29,A001,A001-W01,935.56,6739.68,25.71,0
2024-01-30,A001,A001-W01,950.22,6873.31,25.22,2
2024-01-31,A001,A001-W01,956.53,6576.11,25.18,1
2024-02-01,A001,A001-W01,938.23,6525.28,25.67,0
2024-02-02,A001,A001-W01,871.3,6483.36,25.34,1
2024-02-03,A001,A001-W01,930.89,6598.18,25.0,1
2024-02-04,A001,A001-W01,928.16,6676.26,25.73,0
2024-02-05,A001,A001-W01,924.55,6462.76,25.31,0
2024-02-06,A001,A001-W01,898.36,6515.39,25.4,0
2024-02-07,A001,A001-W01,926.07,6853.97,25.44,0
2024-02-08,A001,A001-W01,913.58,6595.3,25.44,0
2024-02-09,A001,A001-W01,871.44,6483.02,25.91,2
2024-02-10,A001,A001-W01,946.68,6859.3,25.15,3
2024-02-11,A001,A001-W01,864.93,6389.28,25.11,2
2024-02-12,A001,A001-W01,882.78,6741.29,25.9,2
2024-02-13,A001,A001-W01,911.62,6744.42,25.98,1
2024-02-14,A001,A001-W01,919.88,6706.3,25.05,2
2024-02-15,A001,A001-W01,863.88,6275.77,25.29,3
2024-02-16,A001,A001-W01,902.48,6474.55,25.82,2
2024-02-17,A001,A001-W01,889.53,6588.34,25.56,1
2024-02-18,A001,A001-W01,912.66,6376.59,25.68,1
2024-02-19,A001,A001-W01,860.36,6467.59,25.68,3
2024-02-20,A001,A001-W01,934.08,6957.86,24.98,3
2024-02-21,A001,A001-W01,873.19,6654.07,25.25,3
2024-02-22,A001,A001-W01,911.97,6579.97,25.36,3
2024-02-23,A001,A001-W01,930.49,6588.54,25.22,0
2024-02-24,A001,A001-W01,868.8,6609.25,25.7,3
2024-02-25,A001,A001-W01,885.26,6661.0,25.95,0
2024-02-26,A001,A001-W01,910.08,6774.23,25.79,3
2024-02-27,A001,A001-W01,931.85,6343.56,25.66,0
2024-02-28,A001,A001-W01,875.61,6360.58,25.13,0
2024-02-29,A001,A001-W01,876.0,6302.31,25.47,1
2024-03-01,A001,A001-W01,893.16,6840.56,25.03,3
2024-03-02,A001,A001-W01,908.4,6495.93,25.42,3
2024-03-03,A001,A001-W01,882.9,6716.98,25.68,0
2024-03-04,A001,A001-W01,914.7,6670.08,25.85,2
2024-03-05,A001,A001-W01,898.92,6605.42,25.57,3
2024-03-06,A001,A001-W01,935.27,6560.36,25.25,2
2024-03-07,A001,A001-W01,898.17,6580.19,25.36,0
2024-03-08,A001,A001-W01,885.18,6362.29,25.56,3
2024-03-09,A001,A001-W01,904.56,6805.33,25.19,0
2024-03-10,A001,A001-W01,930.51,6414.43,25.13,0
2024-03-11,A001,A001-W01,913.06,6481.24,26.04,3
2024-03-12,A001,A001-W01,953.0,6872.56,25.4,0
2024-03-13,A001,A001-W01,908.76,6499.88,25.97,0
2024-03-14,A001,A001-W01,859.14,6108.1,25.48,0
2024-03-15,A001,A001-W01,856.88,6504.71,25.53,0
2024-03-16,A001,A001-W01,865.72,6322.89,25.69,2
2024-03-17,A001,A001-W01,903.16,6250.74,25.28,0
2024-03-18,A001,A001-W01,936.91,6407.87,25.24,2
2024-03-19,A001,A001-W01,897.47,6267.35,25.62,0
2024-03-20,A001,A001-W01,919.9,6623.25,25.4,3
2024-03-21,A001,A001-W01,910.32,6513.44,26.15,0
2024-03-22,A001,A001-W01,962.33,6644.2,25.49,0
2024-03-23,A001,A001-W01,957.47,6563.35,25.29,0
